"city","state","pop2020","pop2010","area2020"
"Rancho Cucamonga","California",174453,165269,40.1
"Oceanside","California",174068,167086,41.3
"Lancaster","California",173516,156633,94.3
"Garden Grove","California",171949,170883,18
"Pembroke Pines","Florida",171178,154019,32.7
"Fort Collins","Colorado",169810,143986,57.2
"Palmdale","California",169450,152750,106.1
"Springfield","Missouri",169176,159498,82.4
"Clarksville","Tennessee",166722,132929,99.4
"Salinas","California",163542,150441,23.5
"Hayward","California",162954,144186,45.8
"Paterson","New Jersey",159732,146199,8.4
"Alexandria","Virginia",159467,139966,14.9
"Macon","Georgia",157346,91351,249.4
"Corona","California",157136,152374,39.9
"Kansas City","Kansas",156607,145786,124.7
"Lakewood","Colorado",155984,142980,43.5
"Springfield","Massachusetts",155929,153060,31.9
"Sunnyvale","California",155805,140081,22.1
"Jackson","Mississippi",153701,173514,111.7
"Killeen","Texas",153095,127921,54.8
"Hollywood","Florida",153067,140768,27.3
"Murfreesboro","Tennessee",152769,108755,62.9
"Pasadena","Texas",151950,149043,43.7
"Bellevue","Washington",151854,122363,33.5
"Pomona","California",151713,149058,23
"Escondido","California",151038,143911,37.3
"Joliet","Illinois",150362,147433,64.5
"Charleston","South Carolina",150227,120083,114.8
"Mesquite","Texas",150108,139824,48.5
"Naperville","Illinois",149540,141853,39.1
"Rockford","Illinois",148655,152871,64.5
"Bridgeport","Connecticut",148654,144229,16.1
"Syracuse","New York",148620,145170,25.1
"Savannah","Georgia",147780,136286,106.8
"Roseville","California",147773,118788,44.1
"Torrance","California",147067,145438,20.5
"Fullerton","California",143617,135161,22.4
"Surprise","Arizona",143148,117517,110.3
"McAllen","Texas",142210,129877,62.3
"Thornton","Colorado",141867,118772,35.9
"Visalia","California",141384,124442,37.9
"Olathe","Kansas",141290,125872,61.9
"Gainesville","Florida",141085,124354,63.2
"West Valley City","Utah",140230,129480,35.8
"Orange","California",139911,136416,25.7
"Denton","Texas",139869,113383,96.4
"Warren","Michigan",139387,134056,34.4
"Pasadena","California",138699,137122,23
"Waco","Texas",138486,124805,88.7
"Cedar Rapids","Iowa",137710,126326,72.1
"Dayton","Ohio",137644,141527,55.8
"Elizabeth","New Jersey",137298,124969,12.3
"Hampton","Virginia",137148,137436,51.5
"Columbia","South Carolina",136632,129272,136.8
"Kent","Washington",136588,92411,33.8
"Stamford","Connecticut",135470,122643,37.6
"Lakewood","New Jersey",135158,92843,24.7
"Victorville","California",134810,115903,73.7
"Miramar","Florida",134721,122041,28.9
"Coral Springs","Florida",134394,121096,22.9
"Sterling Heights","Michigan",134346,129699,36.4
"New Haven","Connecticut",134023,129779,18.7
"Carrollton","Texas",133434,119097,36.7
"Midland","Texas",132524,111147,75.5
